,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
9,Boston Celtics*,26.2,49,33,48,34,2.21,-0.46,1.75,103.4,101.0,+2.4,92.5,.291,.289,.520,.476,12.8,24.1,.223,.464,15.1,72.9,.245,FleetCenter,659751,16091
10,Detroit Pistons*,29.5,50,32,48,34,2.13,-0.45,1.69,104.8,102.4,+2.4,90.0,.310,.240,.540,.497,14.3,24.4,.235,.474,14.8,70.5,.206,The Palace of Auburn Hills,760807,18556
11,Philadelphia 76ers*,29.0,43,39,46,36,1.60,-0.33,1.27,102.1,100.3,+1.8,88.9,.327,.111,.507,.452,14.6,31.7,.255,.460,14.2,72.1,.208,First Union Center,842976,20560
12,Orlando Magic*,28.0,44,38,46,36,1.57,-0.32,1.25,107.0,105.3,+1.7,93.2,.278,.241,.533,.493,12.6,26.3,.210,.486,14.4,69.2,.215,TD Waterhouse Centre,621121,15149
13,Utah Jazz*,29.9,44,38,44,38,0.89,0.32,1.21,105.6,104.6,+1.0,90.3,.381,.132,.529,.472,15.4,33.5,.291,.484,15.9,71.7,.286,Delta Center,766108,18686
14,Charlotte Hornets*,28.3,44,38,44,38,0.96,-0.40,0.57,104.3,103.3,+1.0,89.7,.320,.151,.513,.466,13.3,30.6,.238,.465,13.3,72.2,.226,Charlotte Coliseum,462738,11286
15,Indiana Pacers*,26.1,42,40,42,40,0.27,-0.34,-0.07,104.1,103.8,+0.3,91.9,.328,.182,.527,.477,14.2,27.0,.253,.469,13.2,71.0,.227,Conseco Fieldhouse,686537,16745
16,Los Angeles Clippers,24.4,39,43,40,42,-0.46,0.38,-0.09,105.5,106.0,-0.5,90.1,.304,.172,.519,.476,13.8,31.3,.225,.477,12.1,69.9,.194,STAPLES Center,740185,18053
17,Phoenix Suns,26.5,36,46,39,43,-0.68,0.39,-0.30,103.3,104.0,-0.7,91.4,.235,.158,.510,.472,13.6,30.1,.180,.476,14.4,70.2,.227,America West Arena,668939,16316
18,Milwaukee Bucks,28.9,41,41,40,42,-0.22,-0.40,-0.62,106.9,107.1,-0.2,90.2,.269,.241,.544,.507,13.6,25.6,.201,.477,12.0,70.9,.217,Bradley Center,745305,18178
19,Toronto Raptors*,29.3,42,40,40,42,-0.44,-0.27,-0.71,102.6,103.1,-0.5,88.8,.255,.165,.501,.463,13.6,31.4,.189,.471,14.7,70.1,.237,Air Canada Centre,810160,19760
20,Washington Wizards,27.5,37,45,37,45,-1.40,-0.17,-1.58,104.8,106.4,-1.6,88.3,.280,.118,.508,.464,12.5,30.7,.214,.484,13.0,71.4,.214,MCI Center,847634,20674
21,Miami Heat,30.1,36,46,36,46,-1.54,-0.31,-1.84,98.5,100.2,-1.7,87.4,.268,.141,.501,.463,14.6,26.6,.194,.455,13.6,74.0,.249,AmericanAirlines Arena,655549,15989
22,Cleveland Cavaliers,26.0,29,53,31,51,-3.33,-0.19,-3.52,104.6,108.2,-3.6,90.3,.301,.156,.524,.477,13.8,28.9,.232,.493,12.3,72.8,.226,Gund Arena,596115,14539
23,New York Knicks,30.3,30,52,29,53,-3.99,-0.16,-4.15,101.5,105.9,-4.4,89.7,.274,.206,.514,.468,14.0,25.6,.216,.479,12.9,71.9,.236,Madison Square Garden (IV),810283,19763
24,Houston Rockets,25.9,28,54,27,55,-4.89,0.58,-4.31,103.1,108.6,-5.5,88.2,.286,.223,.507,.465,13.4,29.0,.211,.491,11.5,69.8,.178,Compaq Center,481227,11737
25,Atlanta Hawks,25.7,33,49,29,53,-4.23,-0.18,-4.41,101.8,106.4,-4.6,91.9,.294,.181,.517,.471,14.6,27.5,.225,.495,14.1,70.9,.218,Philips Arena,506110,12344
